Material_ID,Delta_G_H (eV),Abs_Delta_G_H (eV),Formation_Energy (eV/atom),Stability_Score,Synthesis_Prob,Is_Synthesizable,Composite_Score
generated_crystals_0001.cif,0.29564577758312227,0.29564577758312227,-1.9807665348052979,0.7725367546081543,0.8,1,0.6352444043159484
generated_crystals_0002.cif,0.29177168615162374,0.29177168615162374,-2.008023738861084,0.7786530256271362,0.8,1,0.6401785587668418
generated_crystals_0003.cif,-1.5262329387664795,1.5262329387664795,-6.123699188232422,0.9963887333869934,0.8,1,0.538916620016098
generated_crystals_0004.cif,0.2899832171201706,0.2899832171201706,-2.2651755809783936,0.8288432359695435,0.8,1,0.6566663970947265
generated_crystals_0005.cif,0.3107661385834217,0.3107661385834217,-5.485340595245361,0.9931625723838806,0.8,1,0.6893358608484268
generated_crystals_0006.cif,0.2571130054816604,0.2571130054816604,-4.874901294708252,0.9874106049537659,0.8,1,0.7305327771008014
generated_crystals_0007.cif,0.3856241595745087,0.3856241595745087,-3.352909803390503,0.9423237442970276,0.8,1,0.6141977956295013
generated_crystals_0008.cif,0.33692057102918627,0.33692057102918627,-3.666973114013672,0.9578690528869629,0.0,0,0.41782425904273984
generated_crystals_0009.cif,0.21425348937511446,0.21425348937511446,-7.029440879821777,0.9985401630401611,0.8,1,0.7681592574119568
generated_crystals_0010.cif,0.23298065409064295,0.23298065409064295,-4.891592025756836,0.9876189827919006,0.8,1,0.7499011715650559
generated_crystals_0011.cif,0.320266619771719,0.320266619771719,-2.9644992351531982,0.914948582649231,0.8,1,0.6582712789773941
generated_crystals_0012.cif,0.3526925411820412,0.3526925411820412,-4.86958646774292,0.9873435497283936,0.8,1,0.6540490319728851
generated_crystals_0013.cif,0.2592341298982501,0.2592341298982501,-4.982797622680664,0.9886982440948486,0.8,1,0.7292221693098545
generated_crystals_0014.cif,-0.3866454172134399,0.3866454172134399,-6.183567047119141,0.9965986013412476,0.8,1,0.6296632466316223
generated_crystals_0015.cif,-1.099912028312683,1.099912028312683,-6.484711647033691,0.9974830746650696,0.8,1,0.5392449223995208
generated_crystals_0016.cif,0.4115829807519913,0.4115829807519913,-1.996665596961975,0.7761245965957642,0.8,1,0.5435709943771362
generated_crystals_0017.cif,0.3525477316975594,0.3525477316975594,-4.407441139221191,0.9799081683158875,0.8,1,0.6519342651367187
generated_crystals_0018.cif,0.20449047207832338,0.20449047207832338,-1.9748674631118774,0.7711909413337708,0.8,1,0.7077649047374726
generated_crystals_0019.cif,-0.45238487005233763,0.45238487005233763,-4.8468732833862305,0.9870527982711792,0.8,1,0.5742079434394836
generated_crystals_0020.cif,0.3159333099424839,0.3159333099424839,-2.1882755756378174,0.8151620030403137,0.0,0,0.39180195295810694
generated_crystals_0021.cif,0.1516635012626648,0.1516635012626648,-5.369351863861084,0.9923216700553894,0.8,1,0.816365700006485
generated_crystals_0022.cif,0.5742741417884827,0.5742741417884827,-2.951869010925293,0.9138675332069397,0.0,0,0.2741602599620819
generated_crystals_0023.cif,0.3110675294697285,0.3110675294697285,-2.421243190765381,0.8535751700401306,0.0,0,0.4072185274362564
generated_crystals_0024.cif,0.36445324540138246,0.36445324540138246,-3.9927635192871094,0.96958327293396,0.8,1,0.639312385559082
generated_crystals_0025.cif,0.30893990814685823,0.30893990814685823,-3.667853355407715,0.9579061269760132,0.0,0,0.44021991157531737
generated_crystals_0026.cif,0.19138838022947313,0.19138838022947313,-4.2452802658081055,0.9763709902763367,0.8,1,0.7798005928993225
generated_crystals_0027.cif,0.3253180426359177,0.3253180426359177,-3.38238263130188,0.9439988136291504,0.8,1,0.6629452099800109
generated_crystals_0028.cif,0.3921483871340752,0.3921483871340752,-5.064736843109131,0.9895873665809631,0.8,1,0.6231575002670288
generated_crystals_0029.cif,0.2923707649856806,0.2923707649856806,-3.715200901031494,0.9598527550697327,0.8,1,0.6940592145323753
generated_crystals_0030.cif,0.2964306664466858,0.2964306664466858,-4.692403316497803,0.9848901033401489,0.8,1,0.698322497844696
generated_crystals_0031.cif,-0.004293810129165632,0.004293810129165632,-6.328124046325684,0.9970564246177673,0.8,1,0.9356818792819976
generated_crystals_0032.cif,0.26658302869647743,0.26658302869647743,-6.206014156341553,0.996674120426178,0.8,1,0.7257358131706715
generated_crystals_0033.cif,0.2692624898441136,0.2692624898441136,-4.336432933807373,0.9784296154975891,0.8,1,0.7181188927739859
generated_crystals_0034.cif,0.3127573956549168,0.3127573956549168,-2.4565086364746094,0.858648955821991,0.0,0,0.40738877022266384
generated_crystals_0035.cif,0.2909119133651257,0.2909119133651257,-4.541382789611816,0.9824268221855164,0.8,1,0.7019985159635543
generated_crystals_0036.cif,0.40207180798053743,0.40207180798053743,-2.355963706970215,0.8436977863311768,0.8,1,0.5714518895149231
generated_crystals_0037.cif,0.26131775926798584,0.26131775926798584,-2.6740856170654297,0.8862879276275635,0.8,1,0.6968321708738804
generated_crystals_0038.cif,0.26746134341694416,0.26746134341694416,-5.408253192901611,0.9926146268844604,0.8,1,0.7238153133317828
generated_crystals_0039.cif,0.3583794575929642,0.3583794575929642,-3.1380093097686768,0.9284965395927429,0.8,1,0.6318453958034516
generated_crystals_0040.cif,0.22066902786493303,0.22066902786493303,-5.339698791503906,0.9920905828475952,0.8,1,0.7610919525623321
generated_crystals_0041.cif,0.27372209772467615,0.27372209772467615,-4.745275497436523,0.9856682419776917,0.8,1,0.7167227944135666
generated_crystals_0042.cif,0.18448748111724855,0.18448748111724855,-7.228576183319092,0.9988037943840027,0.8,1,0.7920511534214019
generated_crystals_0043.cif,-0.10406486272811888,0.10406486272811888,-3.1026294231414795,0.9259214401245117,0.8,1,0.8345245418548584
generated_crystals_0044.cif,0.09367555797100069,0.09367555797100069,-5.0168843269348145,0.9890769720077515,0.8,1,0.8617826452255248
generated_crystals_0045.cif,0.2867961455881596,0.2867961455881596,-3.158325672149658,0.929934561252594,0.0,0,0.4495434519052505
generated_crystals_0046.cif,0.23249364316463472,0.23249364316463472,-6.79229211807251,0.9981495141983032,0.8,1,0.7534499397277832
generated_crystals_0047.cif,0.26383825063705446,0.26383825063705446,-4.443934440612793,0.9806281328201294,0.8,1,0.7231178393363953
generated_crystals_0048.cif,0.2542435885220766,0.2542435885220766,-5.368707656860352,0.992316722869873,0.8,1,0.7343001460433006
generated_crystals_0049.cif,0.3210298013687134,0.3210298013687134,-5.729916572570801,0.9946460127830505,0.8,1,0.6815699627399444
generated_crystals_0050.cif,0.2523893811553717,0.2523893811553717,-7.1236491203308105,0.9986714124679565,0.8,1,0.7376899188160896
generated_crystals_0051.cif,-0.8529069232940674,0.8529069232940674,-6.5604352951049805,0.997666597366333,0.8,1,0.5392999792098998
generated_crystals_0052.cif,0.23049168705940248,0.23049168705940248,-2.459603786468506,0.8590857982635498,0.8,1,0.7133323898315429
